Ngày,Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2
8/5/2020,"Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,41 m²,NaN,3.5 m,"64,63 triệu/m²"
8/5/2020,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",NaN,NaN,5 phòng,50 m²,NaN,5 m,86 triệu/m²
8/4/2020,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5,6 phòng,65 m²,NaN,4.5 m,"75,38 triệu/m²"
8/4/2020,"Đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5 phòng,90 m²,18 m,5 m,"108,89 triệu/m²"
8/4/2020,"Đường Tô Hiệu, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,4 phòng,42 m²,NaN,NaN,"83,81 triệu/m²"
8/4/2020,"văn phu, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,Nhà biệt thự,Đang chờ sổ,3,5 phòng,200 m²,22 m,9 m,"47,25 triệu/m²"
8/4/2020,"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,30 m²,9 m,3.4 m,"82,67 triệu/m²"
8/4/2020,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",NaN,NaN,3 phòng,40 m²,NaN,NaN,"136,25 triệu/m²"
8/4/2020,"Văn Phú, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,3,2 phòng,37 m²,10 m,3.7 m,"53,51 triệu/m²"
8/4/2020,"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,9 m,4 m,"71,43 triệu/m²"
8/4/2020,"Đường Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",NaN,NaN,4 phòng,36 m²,NaN,NaN,"116,67 triệu/m²"
8/4/2020,"Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,34 m²,NaN,4.1 m,"63,24 triệu/m²"
8/4/2020,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",NaN,NaN,6 phòng,60 m²,NaN,NaN,"81,67 triệu/m²"
8/4/2020,"99, Đường Nhân Trạch, Phường Phú Lương, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,44 m²,NaN,NaN,50 triệu/m²
8/4/2020,"Đường Ba La, Phường Phú La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú La,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,40 m²,10 m,4 m,50 triệu/m²
8/4/2020,"Đường Hà Trì||1775, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,33 m²,9.5 m,3.5 m,"65,15 triệu/m²"
8/4/2020,"Đường Hà Trì, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,45 m²,NaN,3.3 m,"62,22 triệu/m²"
8/4/2020,"Đường Lê Trọng Tấn||1804, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,36 m²,NaN,3.9 m,"59,72 triệu/m²"
